Intervalo de Datas: 01/04/2020 00:00:00 a 30/04/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00:00 - 18:59:59,"1,095.12","1,056.50","1,136.28",727.27,535.21,"1,138.24","1,170.61","1,272.45","1,429.73",551.38,729.30,631.05,"1,197.20","1,183.26","1,279.86","1,279.84","1,381.23",808.32,639.20,"1,351.70",639.98,"1,359.13","1,345.84","1,384.57",834.96,669.71,"1,235.80","1,387.48","1,425.44","1,601.24","32,477.90"
19:00:00 - 19:59:59,620.00,655.18,796.29,583.19,499.41,704.80,773.97,790.31,"1,015.81",573.06,649.69,573.56,675.33,680.82,768.82,801.91,"1,019.46",762.01,521.59,879.77,533.05,809.27,818.73,"1,093.60",749.52,563.05,725.11,832.08,852.10,"1,223.18","22,544.67"
20:00:00 - 20:59:59,420.90,417.06,480.06,412.23,333.95,381.59,411.38,484.20,614.21,312.09,371.23,349.10,420.25,408.54,462.68,442.19,561.05,463.75,355.78,465.38,354.09,458.90,470.88,659.38,452.59,330.28,451.23,462.01,501.72,801.16,"13,509.86"
21:00:00 - 21:59:59,228.77,234.61,306.24,253.27,236.64,253.43,265.45,291.60,401.59,236.44,294.62,225.46,230.79,213.44,282.12,273.77,344.93,288.10,271.43,295.93,251.28,269.27,299.42,342.59,334.10,259.78,274.42,294.78,341.94,548.28,"8,644.49"
22:00:00 - 22:59:59,173.59,174.93,198.75,204.26,165.59,180.77,186.59,207.25,270.23,179.63,181.43,184.10,200.40,149.42,189.10,222.73,258.09,234.10,201.27,223.11,187.93,182.06,218.40,256.92,221.43,193.78,188.07,206.08,227.39,352.71,"6,220.11"
23:00:00 - 23:59:59,120.08,139.56,165.56,164.28,113.08,128.58,139.60,152.07,189.22,124.09,151.04,105.92,139.61,131.42,142.90,136.76,190.39,189.05,130.27,174.92,164.37,163.57,172.39,216.72,192.22,105.91,156.10,188.73,188.41,229.02,"4,705.84"
Total,"12,852.97","12,770.98","13,946.54","9,800.98","6,277.17","13,540.91","14,130.12","14,903.45","16,607.02","7,679.21","9,947.04","6,911.80","14,189.28","14,421.83","15,102.54","15,309.08","16,733.19","11,718.88","7,235.83","15,353.16","8,806.13","16,586.07","16,509.08","18,023.53","12,529.17","7,376.24","15,858.49","16,221.27","17,019.39","19,891.53","398,252.88"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4932 - Av. Assis Brasil 8292 - B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR2EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
