Intervalo de Datas: 01/05/2020 00:00:00 a 18/05/2020 23:59:59,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4959 - Av. Wenceslau Escobar defronte 1657 - B/C,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
WEN1EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
WEN1FP,Faixa 2 central,,,,,,,,,,,,,,,,,,
WEN1GP,Faixa 3 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,59.31,61.32,71.32,36.66,26.50,40.16,36.83,63.15,65.15,90.66,37.32,37.16,26.66,47.66,33.66,65.98,81.31,42.65,923.46
01:00:00 - 01:59:59,39.83,49.65,50.83,15.66,12.50,15.83,16.50,31.66,33.99,44.15,28.50,20.00,21.33,23.00,18.16,46.66,50.82,21.50,540.57
02:00:00 - 02:59:59,40.00,25.33,39.66,11.33,8.83,15.33,13.16,22.15,26.49,52.16,12.33,22.33,10.00,16.66,21.49,26.50,35.50,14.33,413.58
03:00:00 - 03:59:59,19.66,25.65,22.50,16.83,12.66,9.33,13.33,14.33,20.83,21.00,9.83,10.83,8.16,11.33,16.00,23.33,26.00,14.16,295.76
04:00:00 - 04:59:59,25.00,25.49,9.33,19.33,15.50,17.50,17.50,12.50,24.50,17.00,21.50,15.00,11.50,24.00,21.32,25.83,21.33,26.50,350.63
05:00:00 - 05:59:59,38.98,43.98,26.66,68.82,66.00,60.48,58.49,55.15,42.99,34.82,74.81,61.32,59.16,66.48,60.47,43.16,31.66,63.31,956.74
06:00:00 - 06:59:59,161.96,160.31,101.14,367.94,356.13,362.12,394.62,389.79,175.46,106.64,407.61,364.96,388.30,369.95,361.62,186.80,104.80,401.78,"5,161.93"
07:00:00 - 07:59:59,185.81,243.80,134.14,843.76,844.10,831.94,802.92,736.09,306.97,162.81,875.77,840.46,870.13,888.09,840.42,255.48,141.65,873.26,"10,677.60"
08:00:00 - 08:59:59,243.13,399.97,161.31,953.75,946.43,"1,023.27","1,041.75","1,006.26",446.29,214.98,987.45,"1,030.96","1,009.61","1,013.58","1,021.23",413.42,183.96,"1,032.91","13,130.26"
09:00:00 - 09:59:59,348.12,488.95,223.63,836.59,854.27,917.10,874.27,930.29,646.60,383.31,902.23,813.97,887.79,915.76,960.59,574.10,274.47,903.42,"12,735.46"
10:00:00 - 10:59:59,492.41,634.58,391.79,723.09,825.44,874.26,828.25,886.40,774.27,617.60,829.91,809.46,780.62,921.92,876.75,687.75,445.09,849.26,"13,248.85"
11:00:00 - 11:59:59,480.42,788.57,485.58,758.09,730.08,834.27,895.88,894.22,869.05,809.91,746.20,720.09,754.13,845.56,915.09,782.74,539.78,766.77,"13,616.43"
12:00:00 - 12:59:59,481.41,629.90,438.92,724.22,776.92,754.36,860.72,812.53,756.56,652.39,706.40,689.10,776.08,778.05,840.03,751.21,522.73,750.25,"12,701.78"
13:00:00 - 13:59:59,403.10,560.09,350.43,852.93,907.52,948.04,929.05,939.22,742.53,411.74,872.07,803.91,895.10,934.04,944.70,660.20,399.76,918.73,"13,473.16"
14:00:00 - 14:59:59,450.28,607.42,406.79,838.59,878.74,951.23,953.39,"1,072.71",743.24,383.60,911.08,795.28,919.10,"1,030.21",991.40,680.24,443.27,859.41,"13,915.98"
15:00:00 - 15:59:59,629.25,714.78,555.09,820.74,895.54,915.86,"1,039.22","1,098.21",960.58,629.41,920.36,728.62,880.78,997.74,"1,005.90",904.67,695.57,878.23,"15,270.55"
16:00:00 - 16:59:59,695.39,914.75,769.40,926.57,879.44,948.75,"1,039.20","1,129.05","1,119.17",905.07,921.55,805.11,931.09,"1,052.37","1,104.89","1,047.72",887.71,957.24,"17,034.47"
17:00:00 - 17:59:59,797.22,942.58,880.88,782.73,837.07,920.28,883.58,"1,038.90","1,197.22","1,007.55",848.74,744.26,785.43,914.55,"1,070.75","1,129.25","1,058.89",860.89,"16,700.77"
18:00:00 - 18:59:59,797.40,730.57,844.25,693.75,707.43,798.40,783.93,867.21,947.52,969.88,715.24,608.11,715.62,869.05,882.93,844.42,910.37,704.61,"14,390.69"
19:00:00 - 19:59:59,435.94,410.92,424.11,413.77,385.26,446.92,481.78,580.75,590.88,472.11,378.79,393.78,428.44,494.77,594.23,512.25,446.41,413.10,"8,304.21"
20:00:00 - 20:59:59,276.59,272.28,272.61,254.58,234.11,295.77,311.25,360.72,402.41,332.76,220.12,245.95,306.60,282.27,383.55,326.91,332.09,258.11,"5,368.68"
21:00:00 - 21:59:59,183.75,169.60,145.79,150.29,146.60,194.11,147.61,203.27,248.92,162.13,34.16,139.63,155.13,173.78,219.26,210.61,175.29,153.13,"3,013.06"
22:00:00 - 22:59:59,121.63,151.45,81.14,97.65,109.29,133.95,108.45,165.43,171.92,133.11,82.63,84.82,125.80,119.79,148.28,136.78,122.47,111.48,"2,206.07"
23:00:00 - 23:59:59,84.29,98.65,82.98,72.32,64.48,86.15,97.49,108.97,122.14,90.99,69.66,71.48,90.99,94.98,118.46,102.79,80.65,55.82,"1,593.29"
Total,"7,490.88","9,150.59","6,970.28","11,279.99","11,520.84","12,395.41","12,629.17","13,418.96","11,435.68","8,705.78","11,614.26","10,856.59","11,837.55","12,885.59","13,451.18","10,438.80","8,011.58","11,930.85","196,023.98"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4960 - Av. Manoel Elias 768 - S/N,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
MAN2EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
MAN2FP,Faixa 2 central,,,,,,,,,,,,,,,,,,
MAN2GP,Faixa 3 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,212.30,177.13,222.48,131.64,141.96,150.82,146.65,159.82,258.78,270.14,164.15,137.99,138.47,138.97,166.64,224.31,250.14,134.32,"3,226.71"
01:00:00 - 01:59:59,143.47,134.66,157.00,71.47,73.16,69.50,81.49,94.33,151.48,183.31,90.33,78.82,71.15,86.49,74.16,141.81,198.65,88.33,"1,989.61"
02:00:00 - 02:59:59,89.96,86.32,107.48,44.83,37.50,39.16,34.99,51.16,95.49,115.15,49.50,51.65,47.83,53.83,52.16,83.98,139.82,46.66,"1,227.47"
03:00:00 - 03:59:59,85.00,85.66,85.32,56.82,35.83,42.83,32.00,40.33,75.99,108.99,55.50,45.16,31.83,37.00,48.16,80.99,119.99,57.83,"1,125.23"
04:00:00 - 04:59:59,61.50,56.00,73.83,76.99,56.16,61.49,60.16,76.83,89.99,75.00,84.82,68.33,71.15,78.99,87.50,64.16,86.82,65.00,"1,294.72"
05:00:00 - 05:59:59,107.16,100.16,80.16,179.98,163.32,169.31,167.49,154.99,143.65,87.50,195.98,177.81,183.48,199.65,174.32,121.49,106.66,186.64,"2,699.75"
06:00:00 - 06:59:59,201.48,229.15,154.15,462.29,468.62,472.46,473.45,438.96,298.14,150.63,487.11,493.47,449.81,428.14,459.31,260.31,190.65,502.46,"6,620.59"
07:00:00 - 07:59:59,374.96,426.14,257.31,853.26,836.26,853.59,879.44,857.60,487.77,294.97,885.40,840.74,856.11,856.57,829.93,459.45,262.81,907.38,"12,019.69"
08:00:00 - 08:59:59,415.44,460.28,234.98,724.91,749.77,769.10,849.26,852.42,603.46,355.98,821.76,790.93,745.94,858.09,797.57,604.12,263.47,822.24,"11,719.72"
09:00:00 - 09:59:59,426.30,569.08,314.14,636.28,728.77,751.76,705.60,720.08,703.75,586.30,734.25,684.29,710.95,723.78,773.27,616.26,373.96,689.76,"11,448.58"
10:00:00 - 10:59:59,549.45,670.10,406.13,735.43,745.78,703.09,721.43,743.77,762.26,909.73,770.06,683.77,709.25,778.28,794.72,733.76,459.13,743.43,"12,619.57"
11:00:00 - 11:59:59,556.60,680.09,486.47,755.07,736.93,768.62,763.26,844.93,823.75,"1,019.37",713.75,721.95,737.77,749.74,788.56,756.02,569.77,716.70,"13,189.35"
12:00:00 - 12:59:59,549.62,705.40,464.95,666.41,766.91,729.75,763.89,798.38,777.77,852.95,694.57,657.62,701.94,767.44,845.07,814.43,537.43,689.25,"12,783.78"
13:00:00 - 13:59:59,556.60,643.45,401.95,747.90,781.09,818.10,798.72,871.58,833.58,564.48,784.07,738.95,754.11,809.57,779.36,718.94,480.43,790.55,"12,873.43"
14:00:00 - 14:59:59,605.26,707.10,474.92,868.72,843.91,833.28,890.40,964.35,905.55,531.27,874.02,806.78,875.08,866.41,900.74,842.54,492.09,901.85,"14,184.27"
15:00:00 - 15:59:59,640.24,800.40,554.11,851.08,813.57,860.58,926.23,922.43,961.37,711.94,863.02,816.08,924.39,919.25,981.23,948.72,592.78,907.52,"14,994.94"
16:00:00 - 16:59:59,665.08,809.04,646.75,933.73,"1,000.59","1,032.72","1,025.40","1,018.01","1,064.56",879.23,976.53,976.08,"1,022.78","1,097.16","1,072.51",921.68,702.60,"1,050.82","16,895.27"
17:00:00 - 17:59:59,714.89,818.45,653.07,"1,012.79",969.54,"1,003.39","1,120.35","1,009.62","1,015.04","1,021.91","1,025.97","1,009.06","1,056.72","1,050.00","1,040.67",859.91,757.92,985.80,"17,125.10"
18:00:00 - 18:59:59,811.24,832.93,815.26,959.49,926.31,975.35,"1,004.50",888.97,950.46,983.54,960.27,943.02,979.02,"1,016.34",952.49,913.05,854.38,"1,004.49","16,771.11"
19:00:00 - 19:59:59,689.74,726.76,746.43,774.88,732.77,827.40,873.57,939.84,900.57,976.03,783.83,738.90,841.26,843.23,993.05,856.23,772.42,838.38,"14,855.29"
20:00:00 - 20:59:59,519.79,519.30,483.46,511.10,509.27,565.59,636.12,719.92,724.75,750.10,500.93,480.26,543.94,575.25,732.39,636.25,562.93,519.95,"10,491.30"
21:00:00 - 21:59:59,417.29,389.47,392.44,329.27,370.77,382.63,424.79,539.44,506.43,495.26,319.10,363.44,340.78,395.95,463.95,481.95,381.62,398.29,"7,392.87"
22:00:00 - 22:59:59,293.11,315.79,271.62,249.65,290.78,297.44,314.60,407.26,423.64,349.80,286.62,250.64,312.13,296.45,353.77,342.62,307.29,278.80,"5,642.01"
23:00:00 - 23:59:59,278.78,261.49,173.31,168.62,200.46,213.31,232.97,316.30,345.12,273.96,206.98,173.63,235.46,202.64,282.82,307.62,210.30,199.63,"4,283.40"
Total,"9,965.26","11,204.35","8,657.72","12,802.61","12,980.03","13,391.27","13,926.76","14,431.32","13,903.35","12,547.54","13,328.52","12,729.37","13,341.35","13,829.22","14,444.35","12,790.60","9,674.06","13,526.08","227,473.76"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4961 - Av. Nilo Peçanha DF 350 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
NIL1AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
NIL1BP,Faixa 2 central,,,,,,,,,,,,,,,,,,
NIL1CP,Faixa 3 central,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,44.99,54.99,58.82,25.82,23.32,34.66,27.49,62.32,60.80,57.64,43.31,24.32,42.49,57.49,50.82,46.98,48.49,28.66,793.41
01:00:00 - 01:59:59,31.00,28.66,25.33,9.66,21.16,16.83,21.99,20.66,33.50,34.66,16.50,16.66,19.83,35.33,28.99,26.82,29.99,24.66,442.23
02:00:00 - 02:59:59,18.66,16.50,23.33,3.00,6.00,9.00,7.66,9.33,13.33,24.00,5.66,11.50,9.33,15.66,20.00,24.00,29.33,11.50,257.79
03:00:00 - 03:59:59,3.00,18.33,11.33,9.00,10.00,8.33,13.66,4.33,18.83,16.00,9.00,10.00,10.33,7.66,11.83,21.00,18.33,6.50,207.46
04:00:00 - 04:59:59,20.33,13.33,8.00,10.00,8.33,7.33,12.83,13.33,12.50,15.66,12.00,10.00,9.00,15.83,7.00,21.33,13.33,9.83,219.96
05:00:00 - 05:59:59,17.83,10.00,14.33,25.83,32.00,23.00,26.33,21.33,23.83,14.00,16.33,38.32,19.00,25.33,19.00,24.00,13.50,21.50,385.46
06:00:00 - 06:59:59,67.33,61.99,62.82,159.98,165.64,150.64,168.64,149.31,84.15,66.32,147.14,159.97,143.81,185.47,149.32,82.66,50.82,169.81,"2,225.82"
07:00:00 - 07:59:59,120.30,151.81,84.31,389.63,390.16,374.48,402.30,406.13,172.99,98.82,422.64,401.11,412.47,417.12,399.12,176.15,103.99,427.62,"5,351.15"
08:00:00 - 08:59:59,178.32,216.81,99.82,547.27,546.12,572.78,607.63,554.46,267.46,160.32,570.95,543.77,561.62,556.95,578.48,238.64,110.65,550.96,"7,463.01"
09:00:00 - 09:59:59,236.48,326.95,141.14,541.92,551.44,586.13,600.77,583.08,433.63,225.46,546.77,539.63,574.27,642.60,626.92,392.12,164.98,583.60,"8,297.89"
10:00:00 - 10:59:59,307.44,446.43,216.44,550.10,558.90,652.74,662.23,707.22,575.90,392.79,536.72,546.92,578.44,665.90,719.38,521.78,269.97,628.25,"9,537.55"
11:00:00 - 11:59:59,365.59,516.56,316.11,581.24,610.59,698.89,680.52,716.37,684.71,588.91,632.48,626.06,678.55,720.69,776.50,608.73,414.12,661.53,"10,878.15"
12:00:00 - 12:59:59,411.21,531.34,344.38,604.54,606.18,673.86,618.18,720.82,685.99,655.63,618.37,634.37,664.70,675.53,733.85,601.32,442.01,659.35,"10,881.63"
13:00:00 - 13:59:59,314.40,452.20,289.39,575.54,653.39,676.87,697.86,716.16,539.64,370.37,618.68,630.02,646.06,714.15,744.65,537.00,343.54,631.50,"10,151.42"
14:00:00 - 14:59:59,339.24,423.88,272.40,720.66,722.36,757.21,842.66,864.77,588.69,329.04,720.69,613.86,795.19,784.85,828.48,559.70,320.72,733.50,"11,217.90"
15:00:00 - 15:59:59,422.75,472.02,361.91,743.01,734.55,837.81,855.52,908.64,669.16,407.25,723.17,708.37,829.71,901.46,860.00,633.87,431.37,804.32,"12,304.89"
16:00:00 - 16:59:59,428.90,582.21,452.85,828.01,849.99,943.84,979.32,979.77,747.85,558.08,845.47,801.69,873.33,983.10,"1,025.15",740.23,536.93,929.66,"14,086.38"
17:00:00 - 17:59:59,546.39,638.55,538.54,889.43,826.19,960.49,944.36,998.64,784.66,638.07,857.47,802.69,889.84,"1,006.76","1,054.33",731.21,615.70,920.66,"14,643.98"
18:00:00 - 18:59:59,523.87,472.07,517.73,635.36,693.20,779.83,794.65,852.14,596.73,582.89,703.01,690.06,761.07,827.65,819.99,581.70,555.73,779.51,"12,167.19"
19:00:00 - 19:59:59,315.36,309.52,313.06,398.87,441.51,480.18,462.82,524.33,438.19,362.57,398.17,382.89,462.33,463.34,475.33,366.52,364.73,417.39,"7,377.11"
20:00:00 - 20:59:59,180.22,199.01,186.03,226.69,239.34,298.22,254.02,294.67,262.30,237.21,200.06,245.21,252.24,280.19,322.67,239.18,219.89,260.41,"4,397.56"
21:00:00 - 21:59:59,126.90,111.39,129.73,115.94,135.56,153.69,158.21,198.39,147.52,149.92,103.08,126.57,135.61,157.90,161.85,150.87,123.92,117.60,"2,504.65"
22:00:00 - 22:59:59,78.76,88.75,82.77,84.13,82.43,87.77,82.42,97.21,98.40,92.77,81.44,90.44,86.27,111.92,108.87,96.76,81.94,87.30,"1,620.35"
23:00:00 - 23:59:59,70.95,75.45,62.47,45.82,68.97,72.96,77.63,63.27,98.46,66.80,50.65,64.31,72.96,88.13,77.12,84.63,55.97,49.96,"1,246.51"
Total,"5,170.22","6,218.75","4,613.04","8,721.45","8,977.33","9,857.54","9,999.70","10,466.68","8,039.22","6,145.18","8,879.76","8,718.74","9,528.45","10,341.01","10,599.65","7,507.20","5,359.95","9,515.58","148,659.45"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4962 - Av. Nilo Peçanha 350 - B/C,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
NIL1EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
NIL1FP,Faixa 2 central,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,60.31,50.66,46.49,32.65,35.99,44.14,59.65,62.63,65.63,87.64,43.82,33.82,43.66,53.48,62.99,64.97,92.14,39.32,979.99
01:00:00 - 01:59:59,39.99,35.16,37.32,24.82,16.99,32.66,27.81,21.66,57.99,55.97,27.15,19.32,33.49,31.16,40.00,49.65,61.99,22.82,635.95
02:00:00 - 02:59:59,16.33,38.16,39.99,13.66,16.83,13.99,25.66,20.33,39.15,36.83,8.33,15.00,15.66,24.66,23.82,27.50,34.00,11.16,421.06
03:00:00 - 03:59:59,19.33,11.00,26.32,10.00,8.50,8.66,9.33,9.33,20.00,19.33,7.66,9.33,5.66,10.33,12.66,22.50,31.00,6.33,247.27
04:00:00 - 04:59:59,16.50,15.33,23.33,8.33,10.66,10.16,17.66,13.33,17.50,21.00,10.66,25.16,16.66,13.33,17.16,15.00,16.00,12.00,279.77
05:00:00 - 05:59:59,24.49,14.99,18.66,37.16,32.66,35.33,39.33,38.16,34.50,15.00,31.66,31.33,40.00,39.16,41.66,26.99,19.00,47.99,568.07
06:00:00 - 06:59:59,127.49,138.82,91.65,297.29,288.63,304.48,262.14,274.31,155.47,123.98,281.96,309.47,309.47,285.31,282.46,152.80,100.97,319.77,"4,106.47"
07:00:00 - 07:59:59,179.47,211.96,104.32,653.10,648.76,607.60,697.41,610.94,235.79,109.32,679.08,668.13,669.11,694.44,701.92,268.30,95.65,694.25,"8,529.55"
08:00:00 - 08:59:59,222.81,324.80,114.99,888.39,883.07,932.21,933.84,932.39,333.79,163.31,918.00,869.92,882.57,896.55,927.20,378.78,123.15,978.49,"11,704.26"
09:00:00 - 09:59:59,267.63,383.46,150.65,829.08,749.05,817.93,825.88,796.38,435.11,270.62,774.23,766.60,823.89,862.40,859.23,455.60,166.97,808.23,"11,042.94"
10:00:00 - 10:59:59,292.07,451.58,265.13,682.74,720.55,816.18,736.16,823.68,688.75,457.94,684.38,727.71,724.56,738.53,755.88,566.58,296.27,738.85,"11,167.54"
11:00:00 - 11:59:59,417.28,558.71,353.76,660.85,640.86,716.83,733.48,837.13,721.71,659.56,636.68,653.01,695.14,781.31,740.77,671.86,470.59,659.70,"11,609.23"
12:00:00 - 12:59:59,418.53,477.63,367.01,662.16,697.10,698.57,780.60,749.59,690.13,680.48,649.33,669.15,744.97,766.27,796.05,750.42,422.53,682.08,"11,702.60"
13:00:00 - 13:59:59,328.17,469.66,311.04,737.47,782.51,854.44,794.47,906.97,579.30,456.14,758.69,793.84,791.16,837.97,833.67,609.94,361.56,803.32,"12,010.32"
14:00:00 - 14:59:59,373.37,479.65,332.54,748.32,710.34,860.34,870.65,898.65,572.98,367.67,764.52,700.19,828.36,904.34,821.80,658.15,425.04,822.67,"12,139.58"
15:00:00 - 15:59:59,431.09,550.56,473.87,735.51,775.14,868.62,839.68,916.65,782.71,499.08,837.66,677.54,795.22,870.49,899.20,812.47,570.57,812.67,"13,148.73"
16:00:00 - 16:59:59,535.73,619.88,604.03,771.20,742.33,838.38,802.85,871.97,884.35,695.74,829.85,701.89,782.41,830.83,892.12,932.34,642.26,793.70,"13,771.86"
17:00:00 - 17:59:59,544.73,638.88,615.06,757.37,762.88,795.20,836.70,874.85,895.48,761.92,766.55,646.74,822.38,818.86,859.51,820.85,655.41,832.85,"13,706.22"
18:00:00 - 18:59:59,520.04,508.01,548.74,690.37,705.50,785.18,758.50,830.37,769.29,673.38,736.56,720.24,758.71,818.32,784.97,669.66,562.88,747.35,"12,588.07"
19:00:00 - 19:59:59,355.62,361.62,396.49,507.47,516.25,509.13,526.96,564.72,561.73,443.82,467.23,476.15,527.65,551.98,554.28,521.90,388.65,491.52,"8,723.17"
20:00:00 - 20:59:59,272.28,288.87,251.60,269.34,277.37,344.58,326.29,383.20,412.35,288.65,252.19,276.65,276.59,335.10,350.70,352.06,273.01,289.00,"5,519.83"
21:00:00 - 21:59:59,155.86,160.08,199.77,164.68,161.63,190.31,192.11,234.91,186.63,197.20,125.74,147.78,166.31,198.32,227.71,235.71,194.63,151.04,"3,290.42"
22:00:00 - 22:59:59,122.83,117.68,115.10,94.77,87.91,123.06,138.21,137.46,140.11,119.58,105.44,102.40,126.71,136.87,140.84,166.49,107.88,105.94,"2,189.28"
23:00:00 - 23:59:59,92.07,81.76,91.77,52.63,69.30,72.97,94.13,105.25,92.10,78.46,62.28,69.29,81.12,94.62,100.57,125.59,67.96,66.97,"1,498.84"
Total,"5,834.02","6,988.91","5,579.63","10,329.36","10,340.81","11,280.95","11,329.50","11,914.86","9,372.55","7,282.62","10,459.65","10,110.66","10,961.46","11,594.63","11,727.17","9,356.11","6,180.11","10,938.02","171,581.02"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4965 - Av. Dr. Nilo Peçanha 2715 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
NIL3AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
NIL3BP,Faixa 2 central,,,,,,,,,,,,,,,,,,
NIL3CP,Faixa 3 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,108.78,95.45,120.60,70.28,66.31,84.46,74.12,80.77,110.26,138.41,76.11,62.64,72.13,82.62,95.27,105.62,113.46,85.80,"1,643.09"
01:00:00 - 01:59:59,52.15,58.83,67.48,33.65,37.32,36.32,43.48,41.82,62.31,61.82,44.49,36.98,40.83,43.16,50.31,64.81,66.30,41.16,883.22
02:00:00 - 02:59:59,35.98,36.66,49.66,15.33,27.83,14.15,11.33,30.16,44.65,58.49,12.49,20.00,23.99,35.81,29.49,49.65,59.99,33.66,589.32
03:00:00 - 03:59:59,37.81,29.98,36.65,14.33,27.33,23.66,16.66,15.32,30.32,31.99,8.49,14.66,18.50,19.66,21.82,34.49,50.32,9.32,441.31
04:00:00 - 04:59:59,33.16,24.99,20.99,8.16,16.66,8.83,15.99,11.83,26.48,25.16,11.50,10.33,10.66,16.83,12.16,23.83,29.16,10.83,317.55
05:00:00 - 05:59:59,36.15,23.16,22.15,30.82,35.66,26.99,39.32,29.65,32.66,26.33,33.32,48.16,31.16,45.66,36.83,34.83,33.32,34.99,601.16
06:00:00 - 06:59:59,120.30,130.14,115.32,256.95,250.97,263.62,253.45,239.46,150.96,128.30,230.46,264.64,234.63,250.13,232.97,140.47,99.82,255.46,"3,618.05"
07:00:00 - 07:59:59,180.60,253.44,152.95,653.04,557.61,590.74,583.90,624.24,290.44,175.45,650.42,588.28,634.95,600.06,588.76,303.59,160.61,645.24,"8,234.32"
08:00:00 - 08:59:59,267.97,354.12,119.99,796.73,787.24,867.42,848.08,893.72,387.62,207.64,826.92,801.44,858.77,813.24,882.91,369.77,41.49,869.41,"10,994.48"
09:00:00 - 09:59:59,340.12,475.95,191.47,635.89,833.86,820.21,882.90,922.40,543.58,274.14,788.07,823.77,873.41,857.24,901.70,574.79,0.00,824.73,"11,564.23"
10:00:00 - 10:59:59,410.26,591.59,263.30,880.14,812.69,"1,011.01",950.36,996.82,796.38,502.60,877.33,864.08,960.71,957.68,"1,029.61",705.41,0.00,872.34,"13,482.31"
11:00:00 - 11:59:59,508.57,695.82,441.70,981.11,956.24,"1,053.38","1,045.90","1,157.73",957.94,765.48,964.74,949.33,"1,046.64","1,086.92","1,159.69",898.85,390.42,"1,065.75","16,126.21"
12:00:00 - 12:59:59,551.72,780.23,454.96,"1,031.32","1,044.31","1,203.18","1,076.15","1,204.02","1,024.12",826.42,"1,009.28","1,044.73","1,093.53","1,076.50","1,167.79",889.17,590.08,"1,027.52","17,095.03"
13:00:00 - 13:59:59,461.24,624.11,414.14,890.04,993.06,"1,002.16","1,080.39","1,071.94",831.80,505.28,929.44,976.28,950.23,"1,118.15","1,021.81",793.14,462.59,"1,010.50","15,136.30"
14:00:00 - 14:59:59,475.09,609.22,404.65,"1,039.39","1,061.67","1,150.00","1,151.84","1,215.84",837.03,432.45,"1,098.74",973.03,"1,136.56","1,113.67","1,179.34",791.17,488.25,"1,056.47","16,214.41"
15:00:00 - 15:59:59,606.86,692.29,480.68,"1,190.86","1,170.10","1,275.90","1,331.21","1,384.99",992.89,559.84,"1,182.53","1,106.11","1,158.23","1,293.54","1,314.69",894.27,546.45,"1,215.22","18,396.66"
16:00:00 - 16:59:59,631.66,874.83,573.17,"1,301.05","1,305.39","1,452.00","1,475.97","1,530.25","1,116.29",736.54,"1,350.97","1,326.39","1,396.38","1,519.87","1,528.74",977.84,702.36,"1,455.62","21,255.32"
17:00:00 - 17:59:59,750.86,850.49,719.36,"1,457.34","1,429.83","1,571.34","1,561.68","1,678.93","1,103.44",905.70,"1,490.15","1,364.82","1,489.26","1,662.01","1,703.44","1,006.68",776.72,"1,554.02","23,076.07"
18:00:00 - 18:59:59,762.42,743.62,778.47,"1,258.85","1,243.51","1,431.50","1,436.20","1,545.12","1,010.30",882.45,"1,419.86","1,335.93","1,443.08","1,486.70","1,540.29",911.76,833.67,"1,440.29","21,504.02"
19:00:00 - 19:59:59,558.69,548.13,523.89,764.35,803.84,875.99,899.35,916.71,732.28,637.23,734.89,766.86,881.49,895.63,945.06,644.95,555.40,801.40,"13,486.14"
20:00:00 - 20:59:59,349.94,346.97,325.51,435.89,444.17,516.10,513.46,589.44,470.52,408.61,411.94,438.38,456.78,551.79,522.71,432.40,399.14,433.05,"8,046.80"
21:00:00 - 21:59:59,276.13,236.67,238.77,256.59,279.43,277.71,315.51,358.42,312.93,297.05,238.45,276.56,287.52,287.72,316.06,280.97,275.53,299.40,"5,111.42"
22:00:00 - 22:59:59,182.89,183.52,188.48,160.65,188.35,186.78,195.64,239.01,231.65,204.78,152.66,193.15,212.74,239.58,235.85,209.22,176.79,178.01,"3,559.75"
23:00:00 - 23:59:59,164.91,139.84,125.17,109.74,135.35,144.36,150.13,179.95,210.13,134.34,118.04,138.53,152.03,169.17,153.47,190.46,129.16,112.04,"2,656.82"
