Intervalo de Datas: 01/05/2020 00:00:00 a 18/05/2020 23:59:59,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
18:00:00 - 18:59:59,703.50,761.81,707.38,"1,415.69","1,386.63","1,432.12","1,495.39","1,558.50","1,010.30",980.03,"1,400.96","1,322.67","1,468.23","1,494.62","1,600.84",992.02,781.35,"1,459.78","21,971.82"
19:00:00 - 19:59:59,618.19,679.20,563.56,827.27,890.47,965.78,"1,002.61","1,214.73",784.69,728.22,755.63,850.99,904.33,"1,002.44","1,258.26",802.32,663.90,871.57,"15,384.16"
20:00:00 - 20:59:59,405.06,445.02,372.11,519.24,507.38,581.86,616.04,803.39,601.90,488.08,483.09,482.60,552.03,574.87,755.85,551.72,423.94,519.57,"9,683.75"
21:00:00 - 21:59:59,273.28,270.44,242.29,295.25,313.25,328.57,390.24,417.70,384.11,342.44,295.45,246.78,309.07,359.09,426.08,360.92,284.59,310.93,"5,850.48"
22:00:00 - 22:59:59,209.80,211.92,195.94,225.77,207.57,241.58,237.08,306.07,268.76,247.77,191.26,199.09,249.45,229.53,308.59,275.91,218.78,203.09,"4,227.96"
23:00:00 - 23:59:59,183.21,163.07,121.94,147.40,163.91,182.26,194.39,232.87,228.89,161.94,142.07,153.23,165.09,186.89,193.39,203.07,149.96,146.60,"3,120.18"
Total,"10,682.31","11,883.20","7,654.71","17,215.17","17,583.31","18,279.72","18,589.22","19,726.91","15,159.90","11,194.57","17,254.10","16,862.57","17,688.59","18,666.78","19,993.40","14,904.92","9,194.53","17,793.93","280,327.84"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4932 - Av. Assis Brasil 8292 - B/C,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
ABR2EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
ABR2FP,Faixa 2 central,,,,,,,,,,,,,,,,,,
ABR2GP,Faixa 3 central,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,133.99,121.99,165.99,102.00,102.50,98.16,112.99,105.83,159.32,165.33,95.16,87.33,99.83,119.66,114.14,170.83,171.82,118.00,"2,244.87"
01:00:00 - 01:59:59,123.33,74.33,84.49,53.66,62.33,66.50,60.00,70.16,98.50,114.99,67.33,41.82,61.00,81.00,78.16,94.16,135.49,55.33,"1,422.58"
02:00:00 - 02:59:59,74.66,65.33,63.33,40.16,35.50,47.83,45.00,46.49,84.83,89.49,57.66,41.00,42.00,46.00,45.16,60.33,82.00,35.00,"1,001.77"
