Intervalo de Datas: 01/02/2020 00:00:00 a 29/02/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00:00 - 06:59:59,688.38,414.04,"1,200.60","1,202.81","1,288.32","1,265.35","1,282.51",776.28,471.08,"1,294.54","1,250.38",975.36,"1,293.19","1,332.06",663.96,455.55,"1,021.66","1,306.18","1,320.98","1,326.68","1,386.89",685.75,394.34,569.92,441.45,"1,060.36","1,257.69","1,279.00",647.86,"28,553.17"
07:00:00 - 07:59:59,801.69,382.22,"1,277.88","1,231.75","1,272.66","1,481.09","1,280.36",955.18,376.76,"1,415.58","1,450.10",926.52,"1,395.05","1,459.33",926.33,459.90,"1,076.63",976.50,"1,233.97","1,245.43","1,228.16",848.56,372.40,630.89,421.02,951.96,"1,258.74","1,316.22",914.17,"29,567.05"
08:00:00 - 08:59:59,880.89,397.41,"1,067.03","1,109.18","1,164.56","1,196.83","1,132.90",930.38,356.94,"1,147.54","1,151.89","1,082.60","1,180.90","1,128.68",902.76,441.89,"1,128.38","1,022.38","1,145.40","1,133.34","1,135.45",709.91,365.26,520.49,322.06,773.88,"1,094.03","1,094.10",945.58,"26,662.64"
09:00:00 - 09:59:59,848.94,462.90,914.77,953.42,909.72,911.25,"1,018.79",911.63,431.59,964.88,"1,000.54",926.41,911.45,947.09,"1,745.52",533.21,896.43,932.44,917.66,974.12,973.78,766.45,426.03,535.07,386.58,746.27,860.76,978.73,908.60,"24,695.03"
10:00:00 - 10:59:59,882.46,534.20,813.62,818.97,850.81,838.98,841.00,870.45,546.90,828.51,822.14,837.59,837.62,842.61,856.28,566.71,801.29,824.13,809.27,819.44,839.73,802.84,471.75,594.21,426.58,736.01,781.83,876.27,863.63,"22,235.83"
11:00:00 - 11:59:59,773.81,584.04,762.20,770.48,823.78,764.11,817.97,863.14,633.19,801.03,806.45,776.78,850.12,821.49,875.63,611.06,804.99,800.35,839.01,788.50,847.43,781.63,500.61,550.71,509.91,851.10,716.44,795.14,824.15,"21,945.25"
12:00:00 - 12:59:59,706.01,596.55,775.31,826.67,829.31,809.31,855.81,812.38,613.91,777.80,796.34,807.98,814.13,807.15,745.49,633.56,811.18,873.66,830.12,850.14,873.46,722.49,466.40,478.93,489.08,890.62,875.81,877.49,785.17,"22,032.26"
13:00:00 - 13:59:59,741.53,480.89,851.05,886.28,868.93,877.14,856.79,782.96,574.23,883.61,881.94,850.05,894.76,889.23,783.50,539.09,902.75,909.17,853.82,935.22,917.39,686.65,430.91,522.37,464.41,913.44,944.25,994.44,780.68,"22,897.48"
14:00:00 - 14:59:59,763.16,509.94,868.33,812.15,889.99,886.80,952.93,818.69,621.68,885.98,931.61,922.13,819.80,867.33,820.33,601.55,866.18,855.54,857.13,852.31,909.83,730.65,439.73,606.21,532.86,830.29,850.15,842.33,782.14,"22,927.75"
15:00:00 - 15:59:59,835.00,623.70,841.33,798.51,852.33,822.99,852.68,861.07,691.05,817.64,905.64,831.02,804.67,930.99,813.19,622.06,790.80,855.88,798.66,851.15,970.28,699.99,521.57,594.36,586.06,813.65,769.16,854.81,846.17,"22,856.41"
16:00:00 - 16:59:59,796.15,673.22,827.62,866.16,930.13,840.34,956.02,845.83,720.37,861.64,857.44,877.42,928.13,924.75,873.84,703.68,855.54,912.52,847.68,918.44,"1,006.45",666.48,599.37,557.22,680.89,802.01,829.00,863.80,890.51,"23,912.65"
17:00:00 - 17:59:59,839.67,757.18,902.59,975.96,961.42,959.79,978.42,908.20,833.71,981.63,"1,011.45",955.27,943.26,"1,070.97",783.53,844.86,"1,015.80",915.33,992.99,"1,042.59","1,020.29",745.53,637.55,667.02,739.55,887.94,981.60,"1,073.06",944.97,"26,372.13"
18:00:00 - 18:59:59,881.44,897.08,871.64,809.61,908.08,954.39,918.78,992.33,"1,025.09",917.06,871.23,919.03,876.77,931.20,848.95,"1,039.75",840.75,936.79,899.13,910.73,935.87,754.06,748.98,673.60,752.05,942.72,872.53,938.04,918.53,"25,786.21"
19:00:00 - 19:59:59,878.49,866.00,780.64,785.69,809.15,773.53,875.14,958.87,892.03,759.64,756.34,799.82,805.47,901.65,922.97,904.67,707.19,762.18,732.01,839.35,833.79,741.48,686.51,598.93,606.43,720.36,727.86,869.19,955.01,"23,250.39"
20:00:00 - 20:59:59,702.89,727.20,557.86,662.18,666.23,700.67,849.71,791.26,747.42,675.67,617.07,612.87,626.90,767.65,816.05,824.19,640.75,578.58,651.20,694.01,785.33,584.58,479.92,475.27,508.77,509.84,653.55,766.72,762.72,"19,437.06"
21:00:00 - 21:59:59,622.38,589.42,486.55,509.88,567.72,592.52,682.01,673.41,521.79,500.38,491.06,548.55,521.87,613.42,667.87,609.93,489.39,487.21,506.53,576.01,672.86,496.24,369.09,385.61,371.62,444.23,453.24,607.71,595.21,"15,653.71"
22:00:00 - 22:59:59,477.58,387.61,334.74,377.43,389.42,463.24,534.07,512.58,440.09,402.59,395.74,382.43,424.63,517.25,493.75,465.24,399.91,379.09,384.08,475.42,557.06,399.75,309.43,299.79,355.47,359.62,397.11,469.70,473.41,"12,258.23"
23:00:00 - 23:59:59,420.95,308.26,284.96,298.95,346.92,359.11,467.09,420.09,294.12,312.09,284.79,336.77,338.26,441.25,442.25,273.14,256.29,309.29,332.62,339.08,385.76,305.09,217.29,252.27,259.13,250.29,290.11,382.07,407.77,"9,616.06"
Total,"14,632.18","11,342.46","15,273.49","15,517.03","16,252.41","16,398.54","17,197.05","15,915.83","11,988.43","16,091.08","16,125.62","15,226.23","16,119.95","17,157.06","16,086.67","12,405.32","15,155.18","15,488.52","15,794.24","16,473.56","17,301.78","13,367.94","9,294.32","10,144.87","9,466.66","14,268.32","15,408.03","16,707.47","15,254.91","427,855.15"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4931 - Av. Assis Brasil 8207 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1BP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1CP,Faixa 3 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
00:00:00 - 00:59:59,394.43,390.92,184.92,195.77,240.78,237.92,289.20,393.87,369.27,183.92,185.94,231.60,233.07,245.39,361.56,383.59,167.59,185.09,226.09,250.92,321.35,476.57,235.93,140.79,168.79,184.74,214.93,190.26,364.24,"7,649.44"
01:00:00 - 01:59:59,228.44,228.10,114.14,94.81,113.97,123.98,132.96,241.29,249.95,125.12,112.98,111.29,91.66,143.61,213.80,251.31,102.14,98.48,108.81,127.65,138.13,329.97,161.46,89.31,125.29,108.64,107.63,100.93,200.78,"4,376.63"
02:00:00 - 02:59:59,142.14,161.48,64.65,52.48,69.82,74.33,99.15,143.30,156.15,67.64,53.82,54.83,81.83,88.98,159.80,169.82,68.49,62.15,46.33,70.48,86.99,185.16,101.99,59.83,71.98,64.65,53.33,73.82,134.65,"2,720.07"
03:00:00 - 03:59:59,107.49,134.82,40.50,50.83,52.50,63.33,89.48,111.99,129.99,43.99,39.49,48.33,62.66,58.66,104.99,115.00,43.66,30.33,55.33,64.16,94.16,274.65,67.65,42.16,68.15,33.66,50.15,57.99,110.15,"2,246.25"
04:00:00 - 04:59:59,130.48,129.16,89.49,75.16,91.32,98.65,121.49,119.64,110.33,84.83,82.16,85.00,92.32,106.49,123.32,79.49,88.66,82.49,108.48,91.49,146.32,397.98,67.32,68.82,47.99,77.32,69.83,87.99,105.15,"3,059.17"
05:00:00 - 05:59:59,261.79,137.31,196.12,222.46,213.78,239.95,243.45,231.63,140.48,227.12,226.29,203.96,228.45,226.13,224.45,130.64,210.61,245.61,214.95,254.28,321.78,667.94,98.81,116.48,88.48,195.29,195.79,217.46,174.45,"6,355.94"
06:00:00 - 06:59:59,619.06,228.44,853.11,859.95,828.97,875.12,866.62,554.33,244.47,890.94,873.27,856.81,886.76,843.11,517.21,253.62,858.45,891.62,895.96,923.60,937.97,844.86,235.44,396.10,281.11,765.35,848.46,835.64,458.70,"20,225.05"
07:00:00 - 07:59:59,792.88,470.93,"1,469.78","1,559.87","1,542.22","1,579.01","1,546.19",895.36,351.44,"1,430.74","1,552.04","1,576.36","1,519.73","1,613.37",878.86,396.93,"1,630.03","1,570.92","1,632.68","1,692.04","1,711.84",913.17,377.73,559.74,399.41,"1,258.44","1,600.41","1,669.21",833.37,"35,024.70"
08:00:00 - 08:59:59,"1,003.89",575.96,"1,251.35","1,433.17","1,463.82","1,443.68","1,421.95","1,130.75",407.30,"1,034.57","1,392.84","1,417.83","1,388.33","1,359.82","1,071.55",514.92,"1,299.00","1,451.03","1,363.47","1,486.32","1,469.32","1,007.86",557.95,601.76,307.81,952.74,"1,278.03","1,391.63",977.39,"32,456.04"
09:00:00 - 09:59:59,"1,143.19",595.92,"1,230.11","1,367.14","1,306.08","1,329.64","1,426.95","1,231.67",547.15,563.72,"1,339.42","1,423.31","1,389.49","1,465.13","2,320.64",633.44,"1,277.11","1,308.29","1,475.96","1,440.76","1,473.46","1,184.57",681.76,680.92,392.45,916.05,"1,161.84","1,231.66","1,134.02","33,671.85"
10:00:00 - 10:59:59,"1,246.81",789.42,"1,195.64","1,291.95","1,279.93","1,374.27","1,445.58","1,278.63",640.97,"1,003.80","1,266.46","1,244.26","1,349.61","1,504.88","1,303.82",747.91,"1,192.58","1,209.29","1,241.46","1,394.71","1,446.91","1,236.00",788.59,723.40,461.10,968.50,"1,142.29","1,297.63","1,183.47","33,249.87"
11:00:00 - 11:59:59,"1,277.62",913.07,"1,158.06","1,163.78","1,193.78","1,298.12","1,386.07","1,229.07",844.24,"1,268.17","1,231.25","1,213.94","1,285.29","1,396.35","1,308.00",881.25,"1,213.76","1,147.92","1,263.42","1,318.45","1,461.11","1,232.66",786.77,693.70,496.24,"1,026.19","1,118.32","1,171.97","1,246.77","33,225.34"
12:00:00 - 12:59:59,"1,189.07",658.39,989.94,"1,025.48","1,012.51","1,056.95","1,243.89","1,147.42",624.93,"1,062.14","1,023.40","1,078.10","1,057.64","1,273.20","1,147.09",708.92,"1,054.44","1,071.60","1,102.41","1,165.06","1,453.77","1,090.11",504.75,527.24,429.07,983.85,"1,084.78","1,078.81","1,201.18","29,046.14"
13:00:00 - 13:59:59,"1,113.63",586.25,"1,151.80","1,220.98","1,216.47","1,260.13","1,379.97","1,042.81",606.11,"1,238.50","1,224.77","1,258.28","1,279.65","1,514.73","1,073.60",648.08,"1,201.74","1,253.88","1,300.62","1,344.76","1,338.76","1,085.35",465.95,583.71,483.44,"1,114.99","1,182.74","1,306.59","1,033.45","31,511.74"
14:00:00 - 14:59:59,"1,123.46",613.60,"1,346.68","1,343.08","1,364.19","1,412.23","1,716.64","1,170.82",631.77,"1,380.57","1,457.34","1,410.93","1,429.42","1,622.70","1,114.77",664.42,"1,306.86","1,456.11","1,412.10","1,593.22","1,409.24","1,162.82",490.10,692.89,564.75,"1,178.42","1,356.91","1,603.16","1,131.15","35,160.35"
15:00:00 - 15:59:59,"1,192.90",710.70,"1,464.81","1,467.25","1,503.33","1,506.12","1,590.98","1,224.24",762.07,"1,452.99","1,415.17","1,493.47","1,517.32","1,731.43","1,292.90",763.52,"1,462.42","1,482.56","1,488.96","1,705.59","1,582.32","1,127.13",577.21,706.17,626.85,"1,301.06","1,389.51","1,644.48","1,268.69","37,452.15"
16:00:00 - 16:59:59,"1,174.80",788.74,"1,477.94","1,508.43","1,581.97","1,579.45","1,680.38","1,192.43",842.94,"1,505.30","1,509.77","1,549.14","1,631.42","1,701.96","1,165.27",839.06,"1,481.51","1,511.18","1,570.43","1,596.90","1,259.40","1,023.65",568.74,793.58,655.91,"1,325.52","1,476.07","1,710.49","1,353.19","38,055.57"
17:00:00 - 17:59:59,"1,087.34",819.74,"1,691.66","1,703.70","1,724.51","1,705.72","1,852.90","1,192.67",772.89,"1,753.07","1,777.19","1,767.23","1,473.48","1,977.85",916.34,825.57,"1,625.76","1,717.80","1,462.55","1,739.03","1,893.63",886.21,624.23,848.49,684.70,"1,619.32","1,609.77","1,830.60","1,232.62","40,816.57"
18:00:00 - 18:59:59,"1,126.84",842.57,"1,102.30","1,399.85","1,180.32","1,482.97","1,593.96",706.06,924.69,"1,334.52","1,566.42","1,448.84","1,372.52","1,865.51",986.65,916.90,"1,521.27","1,504.82","1,316.87","1,278.14","1,479.71",936.80,634.70,844.44,614.24,"1,504.94",881.61,"1,797.31","1,118.42","35,284.19"
19:00:00 - 19:59:59,"1,189.27",855.72,"1,290.29","1,319.48","1,374.74","1,426.77","1,908.27","1,004.01",986.04,"1,294.48","1,285.60","1,417.44","1,392.82","1,730.83","1,177.32",994.34,"1,251.37","1,295.34","1,388.25","1,495.64","1,591.44",988.16,727.74,748.06,610.38,"1,162.18","1,272.96","1,575.25","1,219.64","35,973.83"
20:00:00 - 20:59:59,"1,024.21",789.41,929.14,"1,012.44",972.46,"1,111.94","1,411.57",953.24,851.37,959.12,881.13,962.11,"1,079.77","1,331.12","1,020.87",893.51,898.32,905.82,"1,083.46","1,211.08","1,298.11",730.42,559.57,549.26,543.10,765.71,854.34,"1,265.64","1,021.86","27,870.10"
21:00:00 - 21:59:59,678.06,639.25,663.89,698.85,771.18,852.35,"1,043.66",779.57,722.78,681.05,693.55,766.86,752.15,944.51,781.88,731.25,728.38,755.70,758.50,889.85,"1,053.82",587.73,482.94,418.46,404.61,586.58,697.34,934.50,759.56,"21,258.81"
22:00:00 - 22:59:59,715.21,578.72,584.20,652.20,684.50,794.65,900.01,655.37,535.74,567.16,759.00,688.85,789.46,788.68,705.06,507.76,612.53,641.15,631.53,897.77,956.98,534.38,313.11,415.77,293.28,542.82,768.12,914.27,686.89,"19,115.17"
23:00:00 - 23:59:59,561.02,323.36,343.62,454.80,473.49,505.48,654.96,508.83,312.58,384.49,443.11,427.46,487.27,619.09,612.48,314.07,387.84,490.52,458.78,523.49,692.30,350.90,233.76,240.27,420.50,309.48,426.24,554.96,600.49,"13,115.64"
Total,"19,524.03","12,961.98","20,884.14","22,173.91","22,256.64","23,432.76","26,046.28","19,139.00","12,765.65","20,537.95","22,392.41","22,736.23","22,872.12","26,153.53","20,582.23","13,365.32","21,684.52","22,369.70","22,607.40","24,555.39","25,618.82","19,255.05","10,344.20","11,541.35","9,239.63","18,946.44","20,841.40","24,542.25","19,550.28","578,920.61"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
