Intervalo de Datas: 01/03/2020 00:00:00 a 31/03/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00:00 - 14:59:59,639.02,890.96,897.45,926.16,884.49,967.98,901.67,656.90,883.34,871.62,908.30,893.00,884.27,832.68,598.25,860.19,868.32,851.01,776.30,819.77,562.34,327.09,599.80,576.03,582.13,591.82,649.99,507.21,284.57,612.29,668.67,
15:00:00 - 15:59:59,759.22,820.14,837.66,823.66,848.98,983.61,973.48,753.20,819.51,828.52,870.99,835.83,921.85,873.35,735.09,848.85,860.68,843.00,842.98,925.13,603.03,343.26,670.46,594.83,630.52,568.98,738.99,501.54,365.90,670.32,689.63,
16:00:00 - 16:59:59,846.04,873.66,875.24,963.64,918.79,984.48,993.98,880.02,890.80,875.32,904.29,887.48,954.80,902.85,846.39,767.01,903.47,858.86,853.98,883.79,607.18,367.23,661.48,569.51,637.65,631.33,673.52,571.35,421.54,637.19,678.66,
17:00:00 - 17:59:59,988.36,"1,021.14","1,068.27","1,115.47","1,054.60","1,076.44","1,081.48",978.15,"1,054.27","1,041.78","1,051.77","1,056.62","1,046.28",927.00,942.86,"1,015.00",960.43,947.32,897.97,958.92,680.85,434.87,724.97,632.18,672.50,711.54,804.79,584.30,496.04,701.29,728.80,
18:00:00 - 18:59:59,"1,000.58",923.04,868.56,895.05,931.19,"1,014.06","1,134.54","1,146.76",919.71,894.54,842.23,850.52,911.21,"1,045.56","1,073.26",819.40,906.37,797.92,850.28,898.96,685.89,529.31,679.58,605.12,639.23,630.95,708.86,671.06,618.08,725.79,741.58,
19:00:00 - 19:59:59,"1,003.52",774.18,776.35,709.16,778.51,976.99,"1,119.32","1,050.67",723.05,827.84,715.67,767.52,893.15,"1,046.81",904.36,697.83,685.81,717.21,677.84,723.33,595.35,454.56,543.70,483.54,481.86,509.70,524.81,574.68,496.02,506.54,591.64,
20:00:00 - 20:59:59,778.05,640.35,596.05,615.03,653.04,885.53,"1,020.86",827.38,660.21,655.35,643.02,657.57,829.19,902.56,701.22,577.40,595.75,478.39,486.40,569.72,438.85,305.24,353.07,321.05,331.55,330.91,400.67,384.21,337.24,350.26,384.22,
21:00:00 - 21:59:59,538.05,510.05,498.38,538.19,535.91,777.54,760.87,593.05,528.85,538.20,517.20,514.91,748.64,712.20,492.59,452.41,440.90,408.43,371.72,411.87,319.69,236.44,251.25,248.07,222.93,236.26,283.57,270.27,263.41,243.91,265.39,
22:00:00 - 22:59:59,419.88,421.89,409.89,461.90,480.91,589.71,647.06,474.41,430.09,472.88,445.04,373.44,563.87,544.45,350.92,377.41,357.76,321.94,295.27,325.08,245.93,162.62,214.11,167.77,192.77,195.27,217.90,258.56,198.92,214.11,231.23,
23:00:00 - 23:59:59,286.60,307.59,294.93,355.60,330.92,506.07,518.59,291.59,311.46,314.10,335.58,362.08,473.43,495.08,233.13,246.30,227.78,236.27,236.61,211.09,197.28,108.98,163.81,146.97,145.79,159.47,187.95,195.78,141.29,172.79,171.63,
Total,"12,698.96","16,295.37","16,244.05","16,626.82","16,384.66","18,030.07","17,770.80","14,162.19","16,079.89","16,178.30","16,336.47","16,176.24","17,291.49","16,631.67","12,608.21","14,925.93","15,534.35","14,822.51","14,011.34","14,623.18","10,374.33","6,139.00","10,845.77","9,701.73","10,007.94","10,002.83","11,028.01","8,805.84","6,346.00","10,630.75","11,245.95",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4931 - Av. Assis Brasil 8207 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1BP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1CP,Faixa 3 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,23,24,25,26,27,28,29,30,31,
00:00:00 - 00:59:59,423.58,147.76,169.43,232.10,231.08,253.70,419.38,487.41,203.26,223.94,210.58,234.42,297.70,407.08,425.56,153.45,159.10,141.76,129.45,106.36,144.25,,0.00,0.00,83.79,72.12,104.03,104.25,103.28,79.96,84.45,
