data,equipamento,endereco,horario,volume
2020-03-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,81.16
2020-03-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,80.50
2020-03-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,65.66
2020-03-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,28.50
2020-03-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,41.16
2020-03-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,47.50
2020-03-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,43.33
2020-03-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,56.33
2020-03-27,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,50.49
2020-03-28,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,47.33
2020-03-29,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,34.33
2020-03-30,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,47.50
2020-03-31,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,46.50
2020-03-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,147.32
2020-03-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,188.16
2020-03-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,205.83
2020-03-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,175.00
2020-03-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,209.14
2020-03-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,196.49
2020-03-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,175.82
2020-03-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,206.65
2020-03-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,171.99
2020-03-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,160.49
2020-03-11,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,204.99
2020-03-12,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,193.33
2020-03-13,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,199.50
2020-03-14,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,177.16
2020-03-15,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,201.32
2020-03-16,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,183.00
2020-03-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,174.65
2020-03-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,174.33
2020-03-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,150.50
2020-03-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,156.66
2020-03-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,95.83
2020-03-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,64.33
2020-03-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,156.83
2020-03-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,127.50
2020-03-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,103.50
2020-03-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,91.16
2020-03-27,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,97.66
2020-03-28,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,72.33
2020-03-29,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,65.33
2020-03-30,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,115.83
2020-03-31,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,05:00:00 - 05:59:59,115.33
