date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-24,RS,Cachoeirinha,city,261,3,True,130293,4303103,200.31775,0.0115
2020-06-24,RS,Cacique Doble,city,10,0,True,5065,4303202,197.43337,0.0
2020-06-24,RS,Caibaté,city,0,0,True,4846,4303301,,0.0
2020-06-24,RS,Caiçara,city,1,0,True,4743,4303400,21.0837,0.0
2020-06-24,RS,Camaquã,city,38,3,True,66261,4303509,57.34897,0.0789
2020-06-24,RS,Camargo,city,19,0,True,2733,4303558,695.20673,0.0
2020-06-24,RS,Cambará do Sul,city,3,0,True,6431,4303608,46.64904,0.0
2020-06-24,RS,Campestre da Serra,city,8,0,True,3388,4303673,236.12751,0.0
2020-06-24,RS,Campinas do Sul,city,9,0,True,5454,4303806,165.0165,0.0
2020-06-24,RS,Campo Bom,city,153,5,True,66712,4303905,229.34405,0.0327
2020-06-24,RS,Campo Novo,city,4,0,True,4484,4304002,89.20607,0.0
2020-06-24,RS,Candelária,city,9,0,True,31365,4304200,28.6944,0.0
2020-06-24,RS,Cândido Godói,city,1,0,True,6198,4304309,16.13424,0.0
2020-06-24,RS,Candiota,city,3,0,True,9584,4304358,31.30217,0.0
2020-06-24,RS,Canela,city,22,1,True,44998,4304408,48.89106,0.0455
2020-06-24,RS,Canguçu,city,31,2,True,56045,4304507,55.3127,0.0645
2020-06-24,RS,Canoas,city,375,12,True,346616,4304606,108.18889,0.032
2020-06-24,RS,Canudos do Vale,city,4,0,True,1716,4304614,233.10023,0.0
2020-06-24,RS,Capão da Canoa,city,51,2,True,53049,4304630,96.13753,0.0392
2020-06-24,RS,Capão do Cipó,city,2,0,True,3651,4304655,54.77951,0.0
2020-06-24,RS,Capão do Leão,city,4,0,True,25354,4304663,15.7766,0.0
2020-06-24,RS,Capela de Santana,city,1,0,True,11940,4304689,8.37521,0.0
2020-06-24,RS,Capitão,city,15,0,True,2757,4304697,544.06964,0.0
2020-06-24,RS,Caraá,city,13,0,True,8270,4304713,157.19468,0.0
2020-06-24,RS,Carazinho,city,76,0,True,62110,4304705,122.36355,0.0
2020-06-24,RS,Carlos Barbosa,city,256,6,True,29833,4304804,858.11015,0.0234
2020-06-24,RS,Casca,city,12,0,True,9031,4304903,132.87565,0.0
2020-06-24,RS,Caseiros,city,9,0,True,3202,4304952,281.07433,0.0
2020-06-24,RS,Catuípe,city,6,0,True,8774,4305009,68.38386,0.0
2020-06-24,RS,Caxias do Sul,city,765,12,True,510906,4305108,149.734,0.0157
2020-06-24,RS,Centenário,city,2,0,True,2891,4305116,69.18021,0.0
2020-06-24,RS,Cerrito,city,0,0,True,6091,4305124,,0.0
2020-06-24,RS,Cerro Grande do Sul,city,2,1,True,12239,4305173,16.3412,0.5
2020-06-24,RS,Cerro Largo,city,3,0,True,14133,4305207,21.22692,0.0
2020-06-24,RS,Chapada,city,6,0,True,9269,4305306,64.7319,0.0
2020-06-24,RS,Charqueadas,city,33,1,True,40789,4305355,80.90417,0.0303
2020-06-24,RS,Chiapetta,city,20,0,True,3756,4305405,532.48136,0.0
2020-06-24,RS,Chuvisca,city,6,0,True,5441,4305447,110.27385,0.0
2020-06-24,RS,Cidreira,city,29,1,True,16254,4305454,178.41762,0.0345
2020-06-24,RS,Ciríaco,city,5,0,True,4747,4305504,105.32968,0.0
2020-06-24,RS,Colinas,city,15,0,True,2438,4305587,615.25841,0.0
2020-06-24,RS,Colorado,city,4,0,True,3175,4305603,125.98425,0.0
2020-06-24,RS,Condor,city,25,1,True,6753,4305702,370.20583,0.04
2020-06-24,RS,Constantina,city,30,1,True,9911,4305801,302.69398,0.0333
2020-06-24,RS,Coqueiros do Sul,city,5,1,True,2306,4305850,216.82567,0.2
2020-06-24,RS,Coronel Barros,city,1,0,True,2519,4305871,39.69829,0.0
2020-06-24,RS,Coronel Bicaco,city,4,0,True,7325,4305900,54.60751,0.0
2020-06-24,RS,Coronel Pilar,city,1,0,True,1628,4305934,61.42506,0.0
2020-06-24,RS,Cotiporã,city,7,0,True,3853,4305959,181.67662,0.0
2020-06-24,RS,Coxilha,city,27,1,True,2756,4305975,979.6807,0.037
2020-06-24,RS,Crissiumal,city,6,0,True,13448,4306007,44.6163,0.0
2020-06-24,RS,Cristal do Sul,city,1,0,True,2847,4306072,35.12469,0.0
2020-06-24,RS,Cruz Alta,city,109,3,True,60299,4306106,180.76585,0.0275
2020-06-24,RS,Cruzaltense,city,7,0,True,1833,4306130,381.88762,0.0
2020-06-24,RS,Cruzeiro do Sul,city,101,3,True,12348,4306205,817.94623,0.0297
2020-06-24,RS,David Canabarro,city,8,0,True,4740,4306304,168.77637,0.0
2020-06-24,RS,Derrubadas,city,1,0,True,2805,4306320,35.65062,0.0
2020-06-24,RS,Dois Irmãos,city,24,1,True,32671,4306403,73.45964,0.0417
2020-06-24,RS,Dois Irmãos das Missões,city,0,0,True,2026,4306429,,0.0
2020-06-24,RS,Dois Lajeados,city,3,0,True,3400,4306452,88.23529,0.0
2020-06-24,RS,Dom Feliciano,city,3,0,True,15414,4306502,19.46283,0.0
2020-06-24,RS,Dom Pedrito,city,22,1,True,38461,4306601,57.2008,0.0455
2020-06-24,RS,Dom Pedro de Alcântara,city,1,0,True,2534,4306551,39.4633,0.0
2020-06-24,RS,Doutor Maurício Cardoso,city,6,2,True,4549,4306734,131.89712,0.3333
