Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT3AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/02/2020 até 29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
ANT4EL,02:00 - 03:00,"120,6","162,1","88,0","53,5","50,2","52,2","60,8","130,8","125,8","82,5","62,5","53,7","60,6","67,0","123,3","154,5","58,7","67,0","49,0","56,6","75,5","101,3","85,3","69,3","63,6","67,3","56,3","58,5","100,6","2.357,0"
ANT4EL,03:00 - 04:00,"93,2","102,2","58,2","41,0","45,5","48,3","55,8","109,5","110,1","51,7","46,8","49,8","45,2","49,2","93,2","112,3","45,5","36,5","48,7","45,8","59,0","74,6","65,5","52,0","56,3","38,3","39,7","47,5","96,3","1.817,4"
ANT4EL,04:00 - 05:00,"92,0","112,8","68,5","54,7","60,5","70,1","63,5","115,8","105,7","72,5","47,5","43,7","50,5","54,8","113,6","129,3","62,2","54,0","56,5","61,6","60,7","110,3","59,3","59,3","51,7","39,3","49,8","39,8","75,5","2.035,3"
ANT4EL,05:00 - 06:00,"139,5","110,0","161,3","145,8","145,6","159,1","152,1","160,9","168,5","162,0","139,5","134,3","159,0","141,0","149,0","129,0","169,6","147,6","155,3","155,8","162,0","157,2","99,2","97,6","57,7","142,8","140,0","141,3","125,5","4.107,9"
ANT4EL,06:00 - 07:00,"299,4","234,3","464,5","399,4","461,2","450,8","435,6","346,7","251,9","446,6","446,5","434,7","461,2","491,2","324,7","233,9","483,0","496,3","514,6","492,7","472,0","293,9","201,8","266,0","217,1","466,0","498,0","473,4","281,9","11.339,2"
ANT4EL,07:00 - 08:00,"370,7","214,8","572,7","614,5","604,2","597,7","622,6","428,4","280,0","583,2","617,1","605,6","613,3","647,9","425,3","305,8","636,7","586,3","640,1","602,9","614,8","345,6","206,6","322,8","206,9","508,6","589,3","566,9","392,3","14.323,4"
ANT4EL,08:00 - 09:00,"431,2","234,5","601,1","636,4","613,6","608,7","611,1","501,2","232,0","640,7","626,3","636,5","611,1","642,6","506,0","290,3","572,5","587,9","595,4","624,5","605,7","371,1","166,5","261,1","160,3","466,0","566,4","615,2","460,5","14.476,3"
ANT4EL,09:00 - 10:00,"484,0","229,8","567,0","536,7","609,8","628,0","635,8","485,2","279,0","609,0","587,9","605,5","590,7","604,5","514,2","313,4","572,0","607,0","636,0","628,7","650,1","395,6","245,7","294,6","211,5","409,6","511,0","584,4","518,5","14.545,1"
ANT4EL,10:00 - 11:00,"535,6","330,6","589,2","586,9","534,2","573,7","645,5","553,7","359,9","602,2","567,8","552,4","546,1","590,2","569,9","369,1","552,7","577,9","586,5","618,7","628,5","444,8","279,8","320,5","298,3","447,9","505,8","538,6","531,9","14.838,8"
ANT4EL,11:00 - 12:00,"565,5","427,0","574,0","615,4","570,2","561,0","644,7","570,1","430,9","555,0","602,7","553,2","567,9","628,0","573,7","394,1","579,7","566,0","606,7","602,4","642,5","452,9","296,0","339,8","317,4","525,9","531,9","535,6","537,4","15.367,4"
